president,start_date,end_date
George Washington,1789-04-30,1797-03-04
John Adams,1797-03-04,1801-03-04
Thomas Jefferson,1801-03-04,1809-03-04
James Madison,1809-03-04,1817-03-04
James Monroe,1817-03-04,1825-03-04
John Quincy Adams,1825-03-04,1829-03-04
Andrew Jackson,1829-03-04,1837-03-04
Martin Van Buren,1837-03-04,1841-03-04
William Henry Harrison,1841-03-04,1841-04-04
John Tyler,1841-04-04,1845-03-04
James K. Polk,1845-03-04,1849-03-04
Zachary Taylor,1849-03-04,1850-07-09
Millard Fillmore,1850-07-09,1853-03-04
Franklin Pierce,1853-03-04,1857-03-04
James Buchanan,1857-03-04,1861-03-04
Abraham Lincoln,1861-03-04,1865-04-15
Andrew Johnson,1865-04-15,1869-03-04
Ulysses S. Grant,1869-03-04,1877-03-04
Rutherford B. Hayes,1877-03-04,1881-03-04
James A. Garfield,1881-03-04,1881-09-19
Chester A. Arthur,1881-09-19,1885-03-04
Grover Cleveland,1885-03-04,1889-03-04
Benjamin Harrison,1889-03-04,1893-03-04
Grover Cleveland,1893-03-04,1897-03-04
William McKinley,1897-03-04,1901-09-14
Theodore Roosevelt,1901-09-14,1909-03-04
William Howard Taft,1909-03-04,1913-03-04
Woodrow Wilson,1913-03-04,1921-03-04
Warren G. Harding,1921-03-04,1923-08-02
Calvin Coolidge,1923-08-02,1929-03-04
Herbert Hoover,1929-03-04,1933-03-04
Franklin D. Roosevelt,1933-03-04,1945-04-12
Harry S. Truman,1945-04-12,1953-01-20
Dwight D. Eisenhower,1953-01-20,1961-01-20
John F. Kennedy,1961-01-20,1963-11-22
Lyndon B. Johnson,1963-11-22,1969-01-20
Richard Nixon,1969-01-20,1974-08-09
Gerald Ford,1974-08-09,1977-01-20
Jimmy Carter,1977-01-20,1981-01-20
Ronald Reagan,1981-01-20,1989-01-20
George H. W. Bush,1989-01-20,1993-01-20
Bill Clinton,1993-01-20,2001-01-20
George W. Bush,2001-01-20,2009-01-20
Barack Obama,2009-01-20,2017-01-20
Donald Trump,2017-01-20,2021-01-20
